Halimione portulacoides	3756031
Limoniastrum monopetalum	4088889
Limonium ferulaceum	4089686
Lathyrus annuus	5356361
Lomelosia simplex	7301003
Lomelosia stellata	4102909
Anagallis arvensis	3169305
Bartsia trixago	3171813
Brachypodium distachyon	5290143
Digitalis thapsi	5558992
Smyrnium olusatrum	3034782
Iris foetidissima	5298765
Fraxinus angustifolia	7325877
Phillyrea latifolia	7325923
Centaurea diluta	3129010
Centaurium maritimum	7269747
Cynara humilis	3112374
Astragalus hamosus	5342681
Leontodon salzmannii	3133543
Marrubium vulgare	2927069
Trifolium glomeratum	5358694
Trifolium tomentosum	5359510
Lamarckia aurea	5289762
Medicago truncatula	2965280
Leontodon taraxacoides	3137532
Paronychia argentea	5528747
Buglossoides arvensis	2925901
Ranunculus bullatus	3922635
Bellis annua	3117441
Thymus zygis	7306475
Jasminum fruticans	3684450
Myrtus communis	3180085
Rhamnus lycioides	6371380
Selaginella denticulata	3709954
Bellis sylvestris	3117401
Osyris alba	3789029
Asparagus aphyllus	2768701
Euphorbia characias	3067353
Polypodium cambricum	5274944
Pallenis spinosa	5385215
Ceterach officinarum	5275006
Anthyllis vulneraria	5352367
Dactylis glomerata	2705308
Rubia peregrina	2892347
Cheirolophus sempervirens	3097075
Prunus spinosa	3023221
Achillea ageratum	3120391
Nepeta tuberosa	7308812
Cynoglossum clandestinum	4064572
Parietaria judaica	5361801
Crucianella angustifolia	5336632
Lamium purpureum	2926682
Helleborus foetidus	6375040
Heliotropium europaeum	2925767
Acacia saligna	2978552
Ricinus communis	5380041
Panicum repens	2705093
Cynodon dactylon	6109637
Plantago lagopus	7303119
Tuberaria lignosa	3595654
Aristolochia paucinervis	3589153
Asphodelus ramosus	2778478
Asplenium billotii	4258718
Calendula arvensis	5391490
Cardamine hirsuta	3046258
Carlina hispanica	3105375
Clinopodium vulgare	2926945
Digitalis purpurea	5414995
Dorycnopsis gerardi	3972689
Erica scoparia	7328034
Genista triacanthos	5347684
Hypochaeris radicata	3093702
Lithodora prostrata	7295017
Lonicera periclymenum	5334277
Myosotis discolor	5341177
Oenanthe crocata	6027319
Potentilla erecta	5365576
Prunella vulgaris	5341297
Quercus lusitanica	2881060
Scilla monophyllos	2767232
Simethis mattiazzi	4259255
Stachys arvensis	2927229
Stipa gigantea	4140747
Teucrium scorodonia	2926901
Ulex jussiaei	2952010
Viola riviniana	7296321
Tuberaria guttata	2874024
Anogramma leptophylla	5566022
Carum verticillatum	3034713
Coleostephus myconis	3092083
Echium plantagineum	2925895
Geranium dissectum	2890040
Ranunculus trilobus	3033460
Senecio jacobaea	3097243
Senecio lividus	3107156
Sonchus oleraceus	3105754
Tamus communis	2755065
Chrozophora tinctoria	3054465
Lysimachia ephemerum	4005248
Cynomorium coccineum	7313225
Arnica montana	5405976
Atriplex prostrata	3083786
Lythrum hyssopifolia	3188747
Lythrum junceum	3988701
Asplenium trichomanes	2650662
Crithmum maritimum	3632234
Silene uniflora	6364786
Armeria pubigera	4090110
Carpobrotus edulis	3084842
Romulea clusiana	2743722
Cochlearia danica	5373254
Honckenya peploides	3085776
Anagallis monelli	3169306
Centaurea sphaerocephala	3128081
Eryngium maritimum	3034391
Serapias parviflora	5314849
Centaurium chloodes	5595128
Narcissus papyraceus	2858739
Phagnalon rupestre	3150037
Agrimonia eupatoria	3001956
Carex hallerana	7312900
Carex flacca	2727938
Phlomis purpurea	7307046
Cheilanthes hispanica	3747811
Radiola linoides	2873844
Gentiana pneumonanthe	7270598
Scutellaria minor	5341345
Baldellia alpestris	2864553
Verbena bonariensis	2925514
Potamogeton polygonifolius	5301226
Halimium ocymoides	3596000
Ornithogalum broteroi	2773525
Melilotus albus	2971095
Palhinhaea cernua	6385660
Vandenboschia speciosa	3606863
Mibora minima	2705682
Brassica oxyrrhina	3042919
Cakile maritima	3048831
Malcolmia ramosissima	5373133
Euphorbia paralias	3069761
Herniaria ciliolata	3593908
Corrigiola litoralis	5384680
Silene portensis	7267232
Silene littorea	7267702
Otanthus maritimus	3120360
Calystegia soldanella	2928434
Medicago marina	2965395
Artemisia campestris	3121461
Antirrhinum cirrhigerum	4936212
Santolina impressa	4252829
Pseudorlaya pumila	6026266
Dipcadi serotinum	2768176
Arum italicum	5330661
Armeria maritima	3082289
Orobanche arenaria	7332631
Centaurium spicatum	5414470
Aster tripolium	6063362
Paradisea lusitanica	5304341
Chrysosplenium oppositifolium	5567387
Saxifraga lepismigena	3753986
Saxifraga spathularis	3752882
Stellaria alsine	5384606
Melampyrum pratense	7331652
Veronica officinalis	3172049
Melittis melissophyllum	7309400
Arabis juressi	5375019
Prunella grandiflora	7308028
Lathyrus linifolius	5356393
Pinguicula vulgaris	5415065
Lythrum portula	3188743
Drosera rotundifolia	3191030
Eriophorum angustifolium	2730127
Menyanthes trifoliata	5341511
Rhinanthus minor	3172043
Veronica micrantha	3729360
Stellaria graminea	5384616
Arenaria querioides	7267030
Dianthus langeanus	7267498
Asteriscus aquaticus	5393689
Valerianella discoidea	4095067
Carduus tenuiflorus	3114627
Phyllitis scolopendrium	5275008
Caltha palustris	5371685
Anemone nemorosa	3033263
Euphorbia dulcis	3069475
Senecio doria	3108191
Viola palustris	5331355
Anemone trifolia	3033231
Sanicula europaea	6027128
Neottia nidus-avis	2816176
Quercus rotundifolia	2881550
Dactylorhiza sulphurea	2810486
Sedum arenarium	5687869
Alliaria petiolata	5376075
Juncus pygmaeus	2701251
Matthiola sinuata	5377368
Ajuga pyramidalis	7307066
Stellaria holostea	5384676
Plantago holosteum	7303007
Silene acutifolia	5585946
Echium lusitanicum	7131370
Euphorbia hyberna	3066567
Scabiosa columbaria	2888802
Allium ericetorum	2855733
Vaccinium myrtillus	2882833
Crocus carpetanus	2747441
Erythronium dens-canis	2752849
Genista micrantha	5347650
Valantia muralis	2894036
Crucianella maritima	5336649
Teucrium chamaedrys	6411747
Erophaca baetica	2954221
Sedum hirsutum	5688392
Omphalodes nitida	4059622
Anarrhinum duriminium	3742533
Mercurialis ambigua	3062985
Isoetes histrix	3585085
Juncus heterophyllus	2701714
Juncus capitatus	2701957
Juncus bufonius	6413649
Solenopsis laurentia	5413111
Eleocharis palustris	2717002
Daucus carota	3034742
Echium rosulatum	4067922
Polygonum maritimum	5334321
Solanum dulcamara	2932737
Scrophularia scorodonia	7332709
Mollugo verticillata	3084611
Trachelium caeruleum	5407810
Stachys germanica	2927297
Orobanche foetida	3733535
Anacamptis pyramidalis	2808330
Ophrys apifera	2792998
Salix arenaria	5582820
Narcissus tazetta	2858963
Fumana procumbens	7331288
Limodorum trabutianum	5312195
Orchis italica	2849640
Orchis provincialis	2849419
Lathyrus sphaericus	5356680
Scorpiurus vermiculatus	5358301
Alisma plantago-aquatica	2865100
Iris pseudacorus	5298231
Evax pygmaea	3137353
Lavatera arborea	3152772
Malcolmia littorea	5373147
Trifolium campestre	5359477
Salix atrocinerea	5582546
Rorippa sylvestris	3053376
Allium neapolitanum	2856348
Linaria aeruginea	5415010
Erysimum linifolium	3048198
Anchusa undulata	7295330
Trifolium subterraneum	5359330
Serapias perez-chiscanoi	5314806
Orchis morio	2808566
Halimium umbellatum	7331332
Orchis mascula	2849427
Hymenocarpos lotoides	2952429
Ornithogalum concinnum	2773191
Castanea sativa	5333294
Lupinus angustifolius	2964025
Linum bienne	2873896
Narcissus cyclamineus	2858654
Cardamine pratensis	3045752
Ajuga reptans	2927078
Illecebrum verticillatum	5384589
Ornithogalum narbonense	2772958
Dipsacus comosus	4103118
Andryala integrifolia	3105508
Rosa sempervirens	3002660
Lotus castellanus	5356842
Lythrum salicaria	3188736
Centaurea nigra	3128225
Teucrium salviastrum	3893412
Sedum pruinatum	5689142
Jurinea humilis	5392456
Arabis beirana	5375131
Narcissus asturiensis	2858564
Astragalus pelecinus	5346369
Narcissus triandrus	2858501
Linaria saxatilis	6033619
Campanula lusitanica	5411432
Dactylorhiza maculata	2810360
Ornithopus perpusillus	5358256
Hypericum humifusum	3189543
Sedum acre	5362007
Hydrocotyle bonariensis	3034611
Lagurus ovatus	5290177
Eryngium duriaei	3631882
Loeflingia baetica	7267066
Campanula rapunculus	5411920
Veronica montana	3729146
Lilium martagon	2753146
Dryopteris affinis	7319754
Geum urbanum	5369652
Circaea lutetiana	3188794
Hypericum pulchrum	3712747
Prunus lusitanica	3020871
Antirrhinum meonanthum	7333142
Aquilegia vulgaris	3033191
Astragalus epiglottis	5343913
Ranunculus ophioglossifolius	3931003
Silene gallica	5384848
Anarrhinum bellidifolium	7333444
Crupina vulgaris	3149965
Silene scabriflora	7266945
Ranunculus ficaria	3033351
Rosa pouzinii	3008098
Silene latifolia	5384805
Saxifraga fragosoi	3753973
Geranium lucidum	2890560
Stellaria neglecta	6363436
Capsella bursa-pastoris	5375388
Chrysanthemum coronarium	3141119
Trifolium cernuum	5359414
Narcissus jonquilla	2858909
Emex spinosa	2888869
Sonchus tenerrimus	3105768
Echium gaditanum	4059034
Retama monosperma	2965085
Cryptogramma crispa	5275447
Lycopodium clavatum	2688393
Asplenium septentrionale	2650720
Gentiana lutea	3170040
Saxifraga stellaris	3032808
Silene ciliata	7267056
Campanula herminii	5410544
Silene foetida	7268146
Minuartia recurva	7267522
Echinospartum ibericum	7302116
Dryopteris oreades	5653297
Epipactis fageticola	5318966
Erysimum merxmuelleri	3048079
Cerastium ramosissimum	7267109
Viola langeana	5665222
Murbeckiella boryi	3048759
Narcissus rupicola	2858821
Fritillaria nervosa	5300828
Senecio pyrenaicus	3107170
Dryopteris filix-mas	5275132
Phalacrocarpum oppositifolium	3150359
Sorbus aucuparia	3012167
Trifolium strictum	5359475
Vaccinium uliginosum	2882814
Silene rubella	7267025
Sherardia arvensis	5339050
Stipa offneri	4135939
Narcissus scaberulus	2858572
Gagea soleirolii	5299984
Brachypodium retusum	5676053
Tripodion tetraphyllum	2947289
Lycopodiella inundata	2688345
Tamarix africana	2874702
Cytinus hypocistis	7279691
Reichardia gaditana	5385653
Armeria pungens	7136719
Pyrus cordata	5362519
Lamium maculatum	2926684
Polygala vulgaris	3191374
Taxus baccata	5284517
Bupleurum lancifolium	3034557
Merendera filifolia	2739968
Ulex eriocladus	2952003
Verbena officinalis	2925529
Mentha suaveolens	2927190
Tanacetum annuum	3118596
Centranthus ruber	2888740
Arabis verna	5374962
Ophrys lutea	2792643
Paeonia officinalis	3083488
Aceras anthropophorum	2849627
Cynoglossum creticum	4064467
Kickxia spuria	3170817
Asperula aristata	2917056
Papaver somniferum	2888439
Cerinthe major	2926108
Fedia cornucopiae	7298906
Reseda luteola	3040251
Veronica cymbalaria	3172068
Verbena supina	2925492
Inula montana	3148532
Allium paniculatum	2856288
Mantisalca salmantica	3141571
Ornithogalum pyrenaicum	2772902
Allium ampeloprasum	2856037
Carthamus lanatus	3138230
Stachys ocymastrum	2927266
Orobanche ramosa	3173272
Genista tournefortii	5347786
Centaurium erythraea	5414457
Gynandriris sisyrinchium	2744279
Orobanche latisquama	3732689
Romulea bulbocodium	2743687
Erica australis	5682851
Crassula tillaea	5362055
Ruta chalepensis	3190381
Chamaemelum fuscatum	5391595
Laurus nobilis	3034015
Potamogeton nodosus	5301233
Lotus pedunculatus	5356854
Polygonum hydropiper	5334302
Polygonum lapathifolium	5334407
Allium roseum	2855893
Chelidonium majus	5334186
Pentaglottis sempervirens	2926130
Trifolium stellatum	5359037
Betula pubescens	5331649
Clematis campaniflora	3033585
Allium triquetrum	2856457
Muscari comosum	2769204
Cytisus multiflorus	5354581
Linaria spartea	5415017
Centaurea melitensis	3128091
Chamaemelum mixtum	5393230
Hedypnois cretica	5394840
Hypochaeris glabra	3093911
Leontodon tuberosus	3137448
Logfia gallica	3115857
Senecio aquaticus	3107319
Tolpis barbata	3097166
Teesdalia nudicaulis	3054168
Chaerophyllum temulum	3034650
Setaria pumila	5289693
Picris hieracioides	3093337
Fragaria vesca	3029817
Anthoxanthum aristatum	2705972
Armeria rouyana	5668199
Orchis ustulata	2812377
Orchis langei	2849481
Tragopogon hybridus	5386894
Chondrilla juncea	5403805
Platanthera bifolia	2798242
Orobanche rapum-genistae	3731346
Antirrhinum graniticum	7333212
Arenaria leptoclados	5384470
Misopates orontium	3171145
Rumex bucephalophorus	2888993
Rhagadiolus stellatus	5399550
Vicia lutea	2974753
Daucus muricatus	3640822
Plantago major	3189767
Sambucus nigra	2888728
Ophrys scolopax	2792827
Ophrys speculum	2792665
Seseli tortuosum	6026329
Schoenus nigricans	2709923
Rorippa nasturtium-aquaticum	3047558
Ilex aquifolium	5414222
Bellis perennis	3117424
Medicago arabica	2965527
Cystopteris viridula	4017705
Hydrocotyle vulgaris	3034606
Hedera hibernica	3036157
Cardaria draba	3052311
Diplotaxis virgata	5376326
Ferula communis	6027108
Alyssum serpyllifolium	3044979
Nepeta multibracteata	5610140
Bellevalia hackelii	2771819
Centaurea occasus	3127945
Galium concatenatum	2913962
Gratiola linifolia	7332102
Iberis ciliata	5377207
Narcissus willkommii	2858555
Narcissus gaditanus	2858624
Salix salviifolia	5582548
Klasea flavescens	3091206
Thymus lotocephalus	5606426
Thymus carnosus	5607503
Urtica membranacea	5671095
Jasione montana	3165773
Cerastium glomeratum	3085440
Herniaria lusitanica	3594326
Moenchia erecta	5384521
Petrorhagia nanteuilii	3085622
Polycarpon tetraphyllum	3085381
Silene colorata	7267023
Spergularia purpurea	3085631
Coronilla repanda	5348653
Coronilla glauca	5348636
Lotus parviflorus	5356892
Ornithopus compressus	5358265
Ornithopus pinnatus	5358260
Ornithopus sativus	5358266
Trifolium angustifolium	5359395
Trifolium arvense	5359246
Trifolium bocconei	5359041
Trifolium cherleri	5358769
Vicia sativa	2975014
Erodium botrys	2891628
Epipactis helleborine	5319090
Plantago bellardii	4156114
Aegilops geniculata	5289781
Agrostis pourretii	4118280
Airopsis tenella	4109694
Avellinia michelii	4104650
Avena barbata	2705300
Briza maxima	2702792
Briza minor	2702793
Corynephorus fasciculatus	5679673
Cynosurus echinatus	2704394
Vulpia ciliata	5289596
Vulpia geniculata	5679032
Vulpia myuros	5289590
Rumex conglomeratus	2888963
Asterolinon linum-stellatum	4007104
Reseda media	3916471
Aphanes microcarpa	5365022
Sanguisorba minor	3029430
Galium minutulum	2913524
Parentucellia viscosa	3171818
Veronica arvensis	3172048
Valerianella echinata	4095048
Glyceria declinata	2705488
Myosotis debilis	5661377
Ranunculus peltatus	7278031
Pulicaria paludosa	3095595
Lotus hispidus	5356955
Agrostis stolonifera	2706435
